"Country","Day","Confirmed"
"Mainland China",35.5398692810458,9783
"Mainland China",36.5398692810458,11871
"South Korea",-21.4601307189542,1
"South Korea",-20.4601307189542,1
"South Korea",-19.4601307189542,2
"South Korea",-18.4601307189542,2
"South Korea",-17.4601307189542,3
"South Korea",-16.4601307189542,4
"South Korea",-15.4601307189542,4
"South Korea",-14.4601307189542,4
"South Korea",-13.4601307189542,4
"South Korea",-12.4601307189542,11
"South Korea",-11.4601307189542,12
"South Korea",-10.4601307189542,15
"South Korea",-9.46013071895425,15
"South Korea",-8.46013071895425,16
"South Korea",-7.46013071895425,19
"South Korea",-6.46013071895425,23
"South Korea",-5.46013071895425,24
"South Korea",-4.46013071895425,24
"South Korea",-3.46013071895425,25
"South Korea",-2.46013071895425,27
"South Korea",-1.46013071895425,28
"South Korea",-0.460130718954247,28
"South Korea",0.539869281045753,28
"South Korea",1.53986928104575,28
"South Korea",2.53986928104575,28
"South Korea",3.53986928104575,29
"South Korea",4.53986928104575,30
"South Korea",5.53986928104575,31
"South Korea",6.53986928104575,31
"South Korea",7.53986928104575,104
"South Korea",8.53986928104575,204
"South Korea",9.53986928104575,433
"South Korea",10.5398692810458,602
"South Korea",11.5398692810458,833
"South Korea",12.5398692810458,977
"South Korea",13.5398692810458,1261
"South Korea",14.5398692810458,1766
"South Korea",15.5398692810458,2337
"South Korea",16.5398692810458,3150
"South Korea",17.5398692810458,3736
"South Korea",18.5398692810458,4335
"South Korea",19.5398692810458,5186
"South Korea",20.5398692810458,5621
"South Korea",21.5398692810458,6088
"South Korea",22.5398692810458,6593
"South Korea",23.5398692810458,7041
"South Korea",24.5398692810458,7314
"South Korea",25.5398692810458,7478
"Taiwan",-21.4601307189542,1
"Taiwan",-20.4601307189542,1
"Taiwan",-19.4601307189542,3
"Taiwan",-18.4601307189542,3
"Taiwan",-17.4601307189542,4
"Taiwan",-16.4601307189542,5
"Taiwan",-15.4601307189542,8
"Taiwan",-14.4601307189542,8
"Taiwan",-13.4601307189542,9
"Taiwan",-12.4601307189542,10
"Taiwan",-11.4601307189542,10
"Taiwan",-10.4601307189542,10
"Taiwan",-9.46013071895425,10
"Taiwan",-8.46013071895425,11
"Taiwan",-7.46013071895425,11
"Taiwan",-6.46013071895425,16
"Taiwan",-5.46013071895425,16
"Taiwan",-4.46013071895425,17
"Taiwan",-3.46013071895425,18
"Taiwan",-2.46013071895425,18
"Taiwan",-1.46013071895425,18
"Taiwan",-0.460130718954247,18
"Taiwan",0.539869281045753,18
"Taiwan",1.53986928104575,18
"Taiwan",2.53986928104575,18
"Taiwan",3.53986928104575,20
"Taiwan",4.53986928104575,22
"Taiwan",5.53986928104575,22
"Taiwan",6.53986928104575,23
"Taiwan",7.53986928104575,24
"Taiwan",8.53986928104575,26
"Taiwan",9.53986928104575,26
"Taiwan",10.5398692810458,28
"Taiwan",11.5398692810458,30
"Taiwan",12.5398692810458,31
"Taiwan",13.5398692810458,32
"Taiwan",14.5398692810458,32
"Taiwan",15.5398692810458,34
"Taiwan",16.5398692810458,39
"Taiwan",17.5398692810458,40
"Taiwan",18.5398692810458,41
