"Country","Day","Confirmed"
"Finland",-7.68405063291139,1
"United Arab Emirates",-7.68405063291139,5
"India",-8.68405063291139,3
"Italy",-9.68405063291139,2
"Russia",-9.68405063291139,2
"Sweden",-9.68405063291139,1
"UK",-9.68405063291139,2
"Spain",-10.6840506329114,1
"Belgium",-13.6840506329114,1
"Hong Kong",-0.684050632911394,25
"Japan",0.315949367088606,25
"Macau",0.315949367088606,10
"Mainland China",0.315949367088606,34075
"South Korea",0.315949367088606,24
"Taiwan",0.315949367088606,16
"Thailand",0.315949367088606,25
"US",0.315949367088606,12
"Australia",-2.68405063291139,15
"Malaysia",-2.68405063291139,12
"Philippines",-7.68405063291139,3
"Singapore",-0.684050632911394,30
"Vietnam",-0.684050632911394,10
"France",-1.68405063291139,6
"Nepal",-2.68405063291139,1
"Canada",-3.68405063291139,7
"Cambodia",-4.68405063291139,1
"Sri Lanka",-4.68405063291139,1
"Germany",-5.68405063291139,13
"Finland",-6.68405063291139,1
"United Arab Emirates",-6.68405063291139,5
"India",-7.68405063291139,3
"Italy",-8.68405063291139,3
"Russia",-8.68405063291139,2
"Sweden",-8.68405063291139,1
"UK",-8.68405063291139,3
"Spain",-9.68405063291139,1
"Belgium",-12.6840506329114,1
"Others",-15.6840506329114,61
"Hong Kong",0.315949367088606,26
"Japan",1.31594936708861,25
"Macau",1.31594936708861,10
"Mainland China",1.31594936708861,36778
"South Korea",1.31594936708861,24
"Taiwan",1.31594936708861,17
"Thailand",1.31594936708861,32
"US",1.31594936708861,12
"Australia",-1.68405063291139,15
"Malaysia",-1.68405063291139,16
"Philippines",-6.68405063291139,3
"Singapore",0.315949367088606,33
"Vietnam",0.315949367088606,13
"France",-0.684050632911394,11
"Nepal",-1.68405063291139,1
"Canada",-2.68405063291139,7
"Cambodia",-3.68405063291139,1
"Sri Lanka",-3.68405063291139,1
"Germany",-4.68405063291139,13
"Finland",-5.68405063291139,1
"United Arab Emirates",-5.68405063291139,7
"India",-6.68405063291139,3
"Italy",-7.68405063291139,3
"Russia",-7.68405063291139,2
"Sweden",-7.68405063291139,1
"UK",-7.68405063291139,3
"Spain",-8.68405063291139,1
"Belgium",-11.6840506329114,1
"Others",-14.6840506329114,61
"Hong Kong",1.31594936708861,29
"Japan",2.31594936708861,26
"Macau",2.31594936708861,10
"Mainland China",2.31594936708861,39790
"South Korea",2.31594936708861,25
"Taiwan",2.31594936708861,18
"Thailand",2.31594936708861,32
"US",2.31594936708861,12
"Australia",-0.684050632911394,15
"Malaysia",-0.684050632911394,16
"Philippines",-5.68405063291139,3
"Singapore",1.31594936708861,40
"Vietnam",1.31594936708861,13
"France",0.315949367088606,11
"Nepal",-0.684050632911394,1
"Canada",-1.68405063291139,7
"Cambodia",-2.68405063291139,1
"Sri Lanka",-2.68405063291139,1
"Germany",-3.68405063291139,14
"Finland",-4.68405063291139,1
"United Arab Emirates",-4.68405063291139,7
"India",-5.68405063291139,3
"Italy",-6.68405063291139,3
"Russia",-6.68405063291139,2
"Sweden",-6.68405063291139,1
"UK",-6.68405063291139,3
"Spain",-7.68405063291139,2
"Belgium",-10.6840506329114,1
"Others",-13.6840506329114,64
"Hong Kong",2.31594936708861,38
"Japan",3.31594936708861,26
"Macau",3.31594936708861,10
"Mainland China",3.31594936708861,42306
"South Korea",3.31594936708861,27
"Taiwan",3.31594936708861,18
"Thailand",3.31594936708861,32
"US",3.31594936708861,12
"Australia",0.315949367088606,15
"Malaysia",0.315949367088606,18
"Philippines",-4.68405063291139,3
"Singapore",2.31594936708861,45
"Vietnam",2.31594936708861,14
"France",1.31594936708861,11
"Nepal",0.315949367088606,1
"Canada",-0.684050632911394,7
"Cambodia",-1.68405063291139,1
"Sri Lanka",-1.68405063291139,1
"Germany",-2.68405063291139,14
"Finland",-3.68405063291139,1
"United Arab Emirates",-3.68405063291139,8
"India",-4.68405063291139,3
"Italy",-5.68405063291139,3
"Russia",-5.68405063291139,2
"Sweden",-5.68405063291139,1
"UK",-5.68405063291139,8
"Spain",-6.68405063291139,2
"Belgium",-9.68405063291139,1
"Others",-12.6840506329114,135
"Hong Kong",3.31594936708861,49
"Japan",4.31594936708861,26
"Macau",4.31594936708861,10
"Mainland China",4.31594936708861,44327
"South Korea",4.31594936708861,28
"Taiwan",4.31594936708861,18
"Thailand",4.31594936708861,33
"US",4.31594936708861,13
"Australia",1.31594936708861,15
"Malaysia",1.31594936708861,18
"Philippines",-3.68405063291139,3
"Singapore",3.31594936708861,47
"Vietnam",3.31594936708861,15
"France",2.31594936708861,11
"Nepal",1.31594936708861,1
"Canada",0.315949367088606,7
"Cambodia",-0.684050632911394,1
"Sri Lanka",-0.684050632911394,1
"Germany",-1.68405063291139,16
"Finland",-2.68405063291139,1
"United Arab Emirates",-2.68405063291139,8
"India",-3.68405063291139,3
"Italy",-4.68405063291139,3
"Russia",-4.68405063291139,2
"Sweden",-4.68405063291139,1
"UK",-4.68405063291139,8
"Spain",-5.68405063291139,2
"Belgium",-8.68405063291139,1
"Others",-11.6840506329114,135
"Hong Kong",4.31594936708861,50
"Japan",5.31594936708861,28
"Macau",5.31594936708861,10
"Mainland China",5.31594936708861,44699
"South Korea",5.31594936708861,28
"Taiwan",5.31594936708861,18
"Thailand",5.31594936708861,33
"US",5.31594936708861,13
"Australia",2.31594936708861,15
"Malaysia",2.31594936708861,18
"Philippines",-2.68405063291139,3
"Singapore",4.31594936708861,50
"Vietnam",4.31594936708861,15
"France",3.31594936708861,11
"Nepal",2.31594936708861,1
"Canada",1.31594936708861,7
"Cambodia",0.315949367088606,1
"Sri Lanka",0.315949367088606,1
"Germany",-0.684050632911394,16
"Finland",-1.68405063291139,1
"United Arab Emirates",-1.68405063291139,8
"India",-2.68405063291139,3
"Italy",-3.68405063291139,3
"Russia",-3.68405063291139,2
"Sweden",-3.68405063291139,1
"UK",-3.68405063291139,9
"Spain",-4.68405063291139,2
"Belgium",-7.68405063291139,1
"Others",-10.6840506329114,175
"Hong Kong",5.31594936708861,53
"Japan",6.31594936708861,28
"Macau",6.31594936708861,10
"Mainland China",6.31594936708861,59832
"South Korea",6.31594936708861,28
"Taiwan",6.31594936708861,18
"Thailand",6.31594936708861,33
"US",6.31594936708861,15
"Australia",3.31594936708861,15
"Malaysia",3.31594936708861,19
"Philippines",-1.68405063291139,3
"Singapore",5.31594936708861,58
"Vietnam",5.31594936708861,16
"France",4.31594936708861,11
"Nepal",3.31594936708861,1
"Canada",2.31594936708861,7
"Cambodia",1.31594936708861,1
"Sri Lanka",1.31594936708861,1
"Germany",0.315949367088606,16
"Finland",-0.684050632911394,1
"United Arab Emirates",-0.684050632911394,8
"India",-1.68405063291139,3
"Italy",-2.68405063291139,3
"Russia",-2.68405063291139,2
"Sweden",-2.68405063291139,1
"UK",-2.68405063291139,9
"Spain",-3.68405063291139,2
"Belgium",-6.68405063291139,1
"Others",-9.68405063291139,175
"Hong Kong",6.31594936708861,56
"Japan",7.31594936708861,29
"Macau",7.31594936708861,10
"Mainland China",7.31594936708861,66292
"South Korea",7.31594936708861,28
"Taiwan",7.31594936708861,18
"Thailand",7.31594936708861,33
"US",7.31594936708861,15
"Australia",4.31594936708861,15
"Malaysia",4.31594936708861,19
"Philippines",-0.684050632911394,3
"Singapore",6.31594936708861,67
"Vietnam",6.31594936708861,16
"France",5.31594936708861,11
"Nepal",4.31594936708861,1
"Canada",3.31594936708861,7
"Cambodia",2.31594936708861,1
"Sri Lanka",2.31594936708861,1
"Germany",1.31594936708861,16
"Finland",0.315949367088606,1
"United Arab Emirates",0.315949367088606,8
"India",-0.684050632911394,3
"Italy",-1.68405063291139,3
"Russia",-1.68405063291139,2
"Sweden",-1.68405063291139,1
"UK",-1.68405063291139,9
"Spain",-2.68405063291139,2
"Belgium",-5.68405063291139,1
"Others",-8.68405063291139,218
"Egypt",-15.6840506329114,1
"Hong Kong",7.31594936708861,56
"Japan",8.31594936708861,43
"Macau",8.31594936708861,10
"Mainland China",8.31594936708861,68347
"South Korea",8.31594936708861,28
"Taiwan",8.31594936708861,18
"Thailand",8.31594936708861,33
"US",8.31594936708861,15
"Australia",5.31594936708861,15
"Malaysia",5.31594936708861,22
"Philippines",0.315949367088606,3
"Singapore",7.31594936708861,72
"Vietnam",7.31594936708861,16
"France",6.31594936708861,12
"Nepal",5.31594936708861,1
"Canada",4.31594936708861,7
"Cambodia",3.31594936708861,1
"Sri Lanka",3.31594936708861,1
"Germany",2.31594936708861,16
"Finland",1.31594936708861,1
"United Arab Emirates",1.31594936708861,8
"India",0.315949367088606,3
"Italy",-0.684050632911394,3
"Russia",-0.684050632911394,2
"Sweden",-0.684050632911394,1
"UK",-0.684050632911394,9
"Spain",-1.68405063291139,2
"Belgium",-4.68405063291139,1
"Others",-7.68405063291139,285
"Egypt",-14.6840506329114,1
"Hong Kong",8.31594936708861,57
"Japan",9.31594936708861,59
"Macau",9.31594936708861,10
"Mainland China",9.31594936708861,70446
"South Korea",9.31594936708861,29
"Taiwan",9.31594936708861,20
"Thailand",9.31594936708861,34
"US",9.31594936708861,15
"Australia",6.31594936708861,15
"Malaysia",6.31594936708861,22
"Philippines",1.31594936708861,3
"Singapore",8.31594936708861,75
"Vietnam",8.31594936708861,16
"France",7.31594936708861,12
